151218,151218,151218,
151218,151218,151218,
151218,151218,151218,
151218,151218,151218,
151218,151218,151218,
151218,151218,151218,
348293,348293,348292,
348293,348293,348292,
348293,348293,348292,
348293,348293,348292,
348293,348293,348292,
348293,348293,348292,
348293,348293,348292,
348293,348293,348292,
348293,348293,348292,
348293,348293,348292,
355458,355457,355456,
355458,355457,355456,
369786,369786,369785,
369786,369786,369785,
369786,369786,369785,
369786,369786,369785,
369786,369786,369785,
NA,369786,369785,
NA,369786,369785,
NA,369786,369785,
